User-ID,Age,Country,ISBN,Book-Rating,Avg_Rating,Total_No_Of_Users_Rated,Book-Title,Book-Author,Year-Of-Publication,Publisher,Score
272810,18.0,usa,0439139597,10,9.262773722627736,137,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2000,Scholastic,8.741835007205623
150661,36.0,usa,059035342X,9,8.939297124600639,313,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,8.716469062197163
223431,36.0,usa,043935806X,10,9.033980582524272,206,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic,8.700403097956778
102647,14.0,usa,0446310786,4,8.94392523364486,214,To Kill a Mockingbird,Harper Lee,1988,Little Brown &amp; Company,8.640679267799749
128084,36.0,usa,0439136369,9,9.082706766917294,133,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,2001,Scholastic,8.609689525118428
135149,36.0,usa,0345339738,10,9.402597402597403,77,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,1986,Del Rey,8.596516570555533
271705,25.0,usa,0439136350,10,9.035460992907801,141,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,8.595652860723561
223501,36.0,usa,0590353403,7,8.983193277310924,119,Harry Potter and the Sorcerer's Stone (Book 1),J. K. Rowling,1998,Scholastic,8.508791456001804
183110,36.0,usa,0439064872,4,8.783068783068783,189,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,8.490548760665337
73681,27.0,portugal,0439064864,10,8.920634920634921,126,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,1999,Scholastic,8.484783349728055
638,20.0,usa,0345339711,10,9.120481927710843,83,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,1986,Del Rey,8.470128139104288
203313,32.0,united kingdom,0439139600,7,8.954545454545455,110,Harry Potter and the Goblet of Fire (Book 4),J. K. Rowling,2002,Scholastic Paperbacks,8.466142738208795
194803,44.0,usa,0345339703,10,8.83969465648855,131,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,1986,Del Rey,8.441583776658105
259896,16.0,usa,0345339681,5,8.73913043478261,161,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,8.422705939770356
59971,27.0,usa,0812550706,9,8.837606837606838,117,Ender's Game (Ender Wiggins Saga (Paperback)),Orson Scott Card,1994,Tor Books,8.409441085349892
70666,18.0,usa,0385484518,10,8.615,200,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,1997,Doubleday,8.375412259273979
73330,29.0,usa,0064400557,10,9.073529411764707,68,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,8.37203663976008
11795,41.0,spain,0441172717,10,8.973333333333333,75,Dune (Remembering Tomorrow),Frank Herbert,1996,ACE Charter,8.353300981642663
189066,70.0,canada,0345361792,9,8.607734806629834,181,A Prayer for Owen Meany,John Irving,1990,Ballantine Books,8.351464638564613
29209,36.0,usa,0345342968,9,8.628048780487806,164,Fahrenheit 451,RAY BRADBURY,1987,Del Rey,8.34696858091373
20172,27.0,usa,0385504209,5,8.435318275154003,487,The Da Vinci Code,Dan Brown,2003,Doubleday,8.341395347456134
37092,28.0,spain,0451524934,7,8.772277227722773,101,1984,George Orwell,1990,Signet Book,8.327932342111092
86535,42.0,usa,0440498058,10,8.876543209876543,81,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling,8.324888527229863
31158,33.0,usa,0142001740,8,8.452768729641694,307,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,8.310266405521105
8167,39.0,other,0345348036,7,8.837837837837839,74,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure,WILLIAM GOLDMAN,1987,Del Rey,8.276150988756017
164918,36.0,usa,0440219078,8,8.663366336633663,101,The Giver (21st Century Reference),LOIS LOWRY,1994,Laure Leaf,8.261265675444426
237612,30.0,usa,0380002930,7,8.62,100,Watership Down,Richard Adams,1976,Avon,8.232370953953232
6543,34.0,usa,0440212561,8,8.58095238095238,105,Outlander,DIANA GABALDON,1992,Dell,8.219578913895445
251400,36.0,usa,0553296981,9,8.7012987012987,77,Anne Frank: The Diary of a Young Girl,ANNE FRANK,1993,Bantam,8.21353784715128
187918,36.0,usa,0060915544,7,8.521367521367521,117,The Bean Trees,Barbara Kingsolver,1989,Perennial,8.205021195847129
53174,29.0,usa,0345350499,10,8.63855421686747,83,The Mists of Avalon,MARION ZIMMER BRADLEY,1987,Del Rey,8.198019295566873
104636,36.0,usa,0440414806,10,8.657894736842104,76,Holes (Yearling Newbery),LOUIS SACHAR,2000,Yearling,8.186491688916643
232980,36.0,usa,0449005615,9,8.483333333333333,120,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,Ballantine Books,8.18537411113223
97874,33.0,canada,0060938455,9,8.415584415584416,154,Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2002,Perennial,8.183985488295093
21356,56.0,usa,0070212570,6,8.593023255813954,86,Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1989,McGraw-Hill,8.180725576322203
187747,22.0,usa,0449212602,10,8.495495495495495,111,The Handmaid's Tale,Margaret Atwood,1989,Fawcett Books,8.177764779704743
125519,40.0,usa,0553272535,10,8.532608695652174,92,Night,Elie Wiesel,1982,Bantam Books,8.160954079796989
27907,36.0,usa,0440998050,8,8.597402597402597,77,A Wrinkle in Time,Madeleine L'Engle,1976,Laure Leaf,8.156800258498796
85095,63.0,usa,0142004235,10,8.63768115942029,69,East of Eden (Oprah's Book Club),John Steinbeck,2003,Penguin Books,8.151194259010001
75854,25.0,canada,0671041789,6,8.48936170212766,94,The Green Mile,Stephen King,1999,Pocket,8.139929344609685
149615,36.0,usa,0316666343,9,8.185289957567186,707,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",8.138921966859053
111749,33.0,canada,0684874350,8,8.386363636363637,132,ANGELA'S ASHES,Frank McCourt,1996,Scribner,8.138310390042502
48300,16.0,usa,0525947647,10,8.615384615384615,65,Lies and the Lying Liars Who Tell Them: A Fair and Balanced Look at the Right,Al Franken,2003,Dutton Books,8.124874701149846
99026,38.0,usa,0553375407,10,8.457446808510639,94,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,1995,Bantam,8.120942002837534
263460,31.0,usa,1400031354,7,8.452631578947368,95,Tears of the Giraffe (No.1 Ladies Detective Agency),Alexander McCall Smith,2002,Anchor,8.120181361310253
146517,22.0,turkey,0312195516,5,8.182767624020888,383,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,8.103151759392238
240318,33.0,canada,0312924585,9,8.366071428571429,112,Silence of the Lambs,Thomas Harris,1991,St. Martin's Press,8.097209298001877
215988,42.0,usa,0743227441,5,8.431818181818182,88,The Other Boleyn Girl,Philippa Gregory,2002,Touchstone,8.092821292423226
105517,28.0,canada,0671727796,9,8.492753623188406,69,The Color Purple,Alice Walker,1990,Pocket,8.076006289085191
175100,55.0,other,0451169530,9,8.485714285714286,70,The Stand: Complete and Uncut,Stephen King,1991,Signet Book,8.075439077972614
161234,41.0,usa,0842329218,4,8.406976744186046,86,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,8.074058909655536
94843,22.0,usa,0440215625,9,8.471428571428572,70,Dragonfly in Amber,DIANA GABALDON,1993,Dell,8.06797639140545
245559,27.0,australia,0451166892,8,8.39080459770115,87,The Pillars of the Earth,Ken Follett,1996,Signet Book,8.06694593674391
111944,23.0,usa,0451526341,8,8.369565217391305,92,Animal Farm,George Orwell,2004,Signet,8.064800233643144
68721,30.0,canada,0804106304,9,8.195876288659793,194,The Joy Luck Club,Amy Tan,1994,Prentice Hall (K-12),8.054685412590427
116758,38.0,usa,0060930535,9,8.178899082568808,218,The Poisonwood Bible: A Novel,Barbara Kingsolver,1999,Perennial,8.053577434213938
240370,36.0,usa,0805063897,10,8.253731343283581,134,Nickel and Dimed: On (Not) Getting By in America,Barbara Ehrenreich,2002,Owl Books,8.051054729537022
595,17.0,usa,0446672211,10,8.142372881355932,295,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,8.050442441360252
209321,36.0,usa,0060175400,9,8.384615384615385,78,The Poisonwood Bible,Barbara Kingsolver,1999,HarperCollins,8.043019974988242
226553,36.0,usa,0312971346,10,8.352941176470589,85,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks,8.040998902337787
19969,44.0,usa,0446532231,7,8.337078651685394,89,"Dude, Where's My Country?",Michael Moore,2003,Warner Books,8.039927035610003
30511,33.0,netherlands,0345391802,7,8.402777777777779,72,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1995,Ballantine Books,8.037564973884782
101620,36.0,usa,0671001795,9,8.258928571428571,112,Two for the Dough,Janet Evanovich,1996,Pocket,8.029027479820058
219546,25.0,usa,0440180295,8,8.337349397590362,83,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death,Kurt Vonnegut,1991,Laurel,8.027951268355988
115003,43.0,usa,0142001430,6,8.318181818181818,88,Year of Wonders,Geraldine Brooks,2002,Penguin Books,8.027031818739015
240567,33.0,usa,0312990456,9,8.397058823529411,68,One for the Money (A Stephanie Plum Novel),Janet Evanovich,2003,St. Martin's Paperbacks,8.02355179127523
805,34.0,usa,039592720X,9,8.364864864864865,74,Interpreter of Maladies,Jhumpa Lahiri,1999,Houghton Mifflin Co,8.02252780035022
210317,36.0,usa,0060391626,5,8.36,75,I Know This Much Is True (Oprah's Book Club),Wally Lamb,1998,Regan Books,8.022365729844102
27812,33.0,usa,0142001805,9,8.382352941176471,68,The Eyre Affair: A Novel,Jasper Fforde,2003,Penguin Books,8.015976033699472
216057,33.0,canada,068484267X,8,8.26530612244898,98,Angela's Ashes: A Memoir,Frank McCourt,1999,Scribner,8.01301750894031
146444,28.0,usa,0316096199,8,8.19548872180451,133,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,8.010704753544823
145724,36.0,usa,0671027360,7,8.100371747211897,269,Angels &amp; Demons,Dan Brown,2001,Pocket Star,8.009335845190181
41364,34.0,usa,0060987561,8,8.26595744680851,94,I Know This Much Is True,Wally Lamb,1999,Regan Books,8.007017952204622
99434,32.0,united kingdom,038549081X,6,8.35820895522388,67,The Handmaid's Tale : A Novel,Margaret Atwood,1998,Anchor,8.000830812582674
42450,36.0,usa,0441790348,9,8.333333333333334,72,Stranger in a Strange Land (Remembering Tomorrow),Robert A. Heinlein,1995,ACE Charter,8.000800268002429
15679,36.0,usa,0060934417,9,8.150943396226415,159,Bel Canto: A Novel,Ann Patchett,2002,Perennial,8.000488055822109
240401,64.0,usa,1573225789,5,8.25,92,The Color of Water: A Black Man's Tribute to His White Mother,James McBride,1997,Riverhead Books,7.994287413130323
